## net.sf.picard.metrics.StringHeader
# net.sf.picard.sam.MarkDuplicates INPUT=[cortex_bulk.bam] OUTPUT=cortex_bulk.rmdup.bam METRICS_FILE=cortex_bulk.markdup_metrics.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 READ_NAME_REGEX=[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).* OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## net.sf.picard.metrics.StringHeader
# Started on: Sun Jun 16 18:18:14 EDT 2013

## METRICS CLASS	net.sf.picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
	9073360	528038406	18613937	3989026	46522550	7505317	0.091099	3296473983

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.013295
2.0	1.87661
3.0	2.612144
4.0	3.238811
5.0	3.772723
6.0	4.22761
7.0	4.615168
8.0	4.945363
9.0	5.226685
10.0	5.466368
11.0	5.670575
12.0	5.844557
13.0	5.992788
14.0	6.119078
15.0	6.226676
16.0	6.318349
17.0	6.396453
18.0	6.462996
19.0	6.51969
20.0	6.567993
21.0	6.609146
22.0	6.644209
23.0	6.674081
24.0	6.699532
25.0	6.721216
26.0	6.739691
27.0	6.755431
28.0	6.768841
29.0	6.780267
30.0	6.790001
31.0	6.798295
32.0	6.805361
33.0	6.811381
34.0	6.81651
35.0	6.82088
36.0	6.824603
37.0	6.827775
38.0	6.830478
39.0	6.83278
40.0	6.834742
41.0	6.836413
42.0	6.837837
43.0	6.839051
44.0	6.840084
45.0	6.840965
46.0	6.841715
47.0	6.842354
48.0	6.842899
49.0	6.843363
50.0	6.843758
51.0	6.844095
52.0	6.844382
53.0	6.844627
54.0	6.844835
55.0	6.845013
56.0	6.845164
57.0	6.845293
58.0	6.845402
59.0	6.845496
60.0	6.845576
61.0	6.845643
62.0	6.845701
63.0	6.84575
64.0	6.845792
65.0	6.845828
66.0	6.845859
67.0	6.845885
68.0	6.845907
69.0	6.845926
70.0	6.845942
71.0	6.845955
72.0	6.845967
73.0	6.845977
74.0	6.845985
75.0	6.845993
76.0	6.845999
77.0	6.846004
78.0	6.846008
79.0	6.846012
80.0	6.846016
81.0	6.846018
82.0	6.846021
83.0	6.846023
84.0	6.846024
85.0	6.846026
86.0	6.846027
87.0	6.846028
88.0	6.846029
89.0	6.84603
90.0	6.84603
91.0	6.846031
92.0	6.846031
93.0	6.846032
94.0	6.846032
95.0	6.846032
96.0	6.846033
97.0	6.846033
98.0	6.846033
99.0	6.846033
100.0	6.846033

