## net.sf.picard.metrics.StringHeader
# net.sf.picard.sam.MarkDuplicates INPUT=[heart_bulk.bam] OUTPUT=heart_bulk.rmdup.bam METRICS_FILE=heart_bulk.markdup_metrics.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 READ_NAME_REGEX=[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).* OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## net.sf.picard.metrics.StringHeader
# Started on: Sun Jun 16 18:18:21 EDT 2013

## METRICS CLASS	net.sf.picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
	9875012	553805627	20701218	4692063	66617162	10919991	0.123426	2461541016

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.017938
2.0	1.830792
3.0	2.47988
4.0	2.998196
5.0	3.412086
6.0	3.74259
7.0	4.006507
8.0	4.217252
9.0	4.385539
10.0	4.519921
11.0	4.627228
12.0	4.712917
13.0	4.781342
14.0	4.835981
15.0	4.879612
16.0	4.914453
17.0	4.942274
18.0	4.96449
19.0	4.98223
20.0	4.996396
21.0	5.007708
22.0	5.016741
23.0	5.023954
24.0	5.029714
25.0	5.034314
26.0	5.037987
27.0	5.040919
28.0	5.043261
29.0	5.045131
30.0	5.046625
31.0	5.047817
32.0	5.04877
33.0	5.04953
34.0	5.050137
35.0	5.050622
36.0	5.051009
37.0	5.051318
38.0	5.051565
39.0	5.051762
40.0	5.05192
41.0	5.052045
42.0	5.052146
43.0	5.052226
44.0	5.05229
45.0	5.052341
46.0	5.052382
47.0	5.052415
48.0	5.052441
49.0	5.052461
50.0	5.052478
51.0	5.052491
52.0	5.052502
53.0	5.05251
54.0	5.052517
55.0	5.052522
56.0	5.052527
57.0	5.05253
58.0	5.052533
59.0	5.052535
60.0	5.052537
61.0	5.052538
62.0	5.052539
63.0	5.05254
64.0	5.052541
65.0	5.052541
66.0	5.052542
67.0	5.052542
68.0	5.052543
69.0	5.052543
70.0	5.052543
71.0	5.052543
72.0	5.052543
73.0	5.052543
74.0	5.052543
75.0	5.052543
76.0	5.052544
77.0	5.052544
78.0	5.052544
79.0	5.052544
80.0	5.052544
81.0	5.052544
82.0	5.052544
83.0	5.052544
84.0	5.052544
85.0	5.052544
86.0	5.052544
87.0	5.052544
88.0	5.052544
89.0	5.052544
90.0	5.052544
91.0	5.052544
92.0	5.052544
93.0	5.052544
94.0	5.052544
95.0	5.052544
96.0	5.052544
97.0	5.052544
98.0	5.052544
99.0	5.052544
100.0	5.052544

