## net.sf.picard.metrics.StringHeader
# net.sf.picard.sam.MarkDuplicates INPUT=[neuron_3.bam] OUTPUT=neuron_3.rmdup.bam METRICS_FILE=neuron_3.markdup_metrics.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 READ_NAME_REGEX=[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).* OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## net.sf.picard.metrics.StringHeader
# Started on: Sun Jun 16 18:18:21 EDT 2013

## METRICS CLASS	net.sf.picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
	8118514	583902469	19707195	3299155	94969725	15087236	0.164329	1830756913

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.022524
2.0	1.765815
3.0	2.306128
4.0	2.698891
5.0	2.984398
6.0	3.191939
7.0	3.342804
8.0	3.452471
9.0	3.53219
10.0	3.590139
11.0	3.632263
12.0	3.662884
13.0	3.685143
14.0	3.701323
15.0	3.713085
16.0	3.721635
17.0	3.72785
18.0	3.732368
19.0	3.735652
20.0	3.738039
21.0	3.739775
22.0	3.741036
23.0	3.741953
24.0	3.74262
25.0	3.743104
26.0	3.743457
27.0	3.743713
28.0	3.743899
29.0	3.744034
30.0	3.744132
31.0	3.744204
32.0	3.744256
33.0	3.744294
34.0	3.744321
35.0	3.744341
36.0	3.744356
37.0	3.744366
38.0	3.744374
39.0	3.744379
40.0	3.744383
41.0	3.744386
42.0	3.744388
43.0	3.74439
44.0	3.744391
45.0	3.744392
46.0	3.744393
47.0	3.744393
48.0	3.744393
49.0	3.744394
50.0	3.744394
51.0	3.744394
52.0	3.744394
53.0	3.744394
54.0	3.744394
55.0	3.744394
56.0	3.744394
57.0	3.744394
58.0	3.744394
59.0	3.744394
60.0	3.744394
61.0	3.744394
62.0	3.744394
63.0	3.744394
64.0	3.744394
65.0	3.744394
66.0	3.744394
67.0	3.744394
68.0	3.744394
69.0	3.744394
70.0	3.744394
71.0	3.744394
72.0	3.744394
73.0	3.744394
74.0	3.744394
75.0	3.744394
76.0	3.744394
77.0	3.744394
78.0	3.744394
79.0	3.744394
80.0	3.744394
81.0	3.744394
82.0	3.744394
83.0	3.744394
84.0	3.744394
85.0	3.744394
86.0	3.744394
87.0	3.744394
88.0	3.744394
89.0	3.744394
90.0	3.744394
91.0	3.744394
92.0	3.744394
93.0	3.744394
94.0	3.744394
95.0	3.744394
96.0	3.744394
97.0	3.744394
98.0	3.744394
99.0	3.744394
100.0	3.744394

