## net.sf.picard.metrics.StringHeader
# net.sf.picard.sam.MarkDuplicates INPUT=[neurons_100batch.bam] OUTPUT=neurons_100batch.rmdup.bam METRICS_FILE=neurons_100batch.markdup_metrics.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 READ_NAME_REGEX=[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).* OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## net.sf.picard.metrics.StringHeader
# Started on: Sun Jun 16 18:18:21 EDT 2013

## METRICS CLASS	net.sf.picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
	7790650	515450109	16522957	2458424	48416224	7903120	0.095592	3007732667

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.014276
2.0	1.868808
3.0	2.588757
4.0	3.195318
5.0	3.706349
6.0	4.136895
7.0	4.499633
8.0	4.805242
9.0	5.062718
10.0	5.279644
11.0	5.462405
12.0	5.616383
13.0	5.746109
14.0	5.855405
15.0	5.947487
16.0	6.025067
17.0	6.090428
18.0	6.145495
19.0	6.19189
20.0	6.230977
21.0	6.263909
22.0	6.291654
23.0	6.315029
24.0	6.334723
25.0	6.351315
26.0	6.365294
27.0	6.377071
28.0	6.386994
29.0	6.395354
30.0	6.402397
31.0	6.408331
32.0	6.41333
33.0	6.417542
34.0	6.421091
35.0	6.42408
36.0	6.426599
37.0	6.428721
38.0	6.430509
39.0	6.432016
40.0	6.433285
41.0	6.434354
42.0	6.435255
43.0	6.436014
44.0	6.436653
45.0	6.437192
46.0	6.437646
47.0	6.438028
48.0	6.43835
49.0	6.438622
50.0	6.43885
51.0	6.439043
52.0	6.439205
53.0	6.439342
54.0	6.439457
55.0	6.439554
56.0	6.439636
57.0	6.439705
58.0	6.439763
59.0	6.439812
60.0	6.439853
61.0	6.439888
62.0	6.439917
63.0	6.439942
64.0	6.439963
65.0	6.43998
66.0	6.439995
67.0	6.440007
68.0	6.440018
69.0	6.440027
70.0	6.440034
71.0	6.44004
72.0	6.440046
73.0	6.44005
74.0	6.440054
75.0	6.440057
76.0	6.44006
77.0	6.440062
78.0	6.440064
79.0	6.440065
80.0	6.440067
81.0	6.440068
82.0	6.440069
83.0	6.440069
84.0	6.44007
85.0	6.440071
86.0	6.440071
87.0	6.440072
88.0	6.440072
89.0	6.440072
90.0	6.440072
91.0	6.440073
92.0	6.440073
93.0	6.440073
94.0	6.440073
95.0	6.440073
96.0	6.440073
97.0	6.440073
98.0	6.440073
99.0	6.440073
100.0	6.440074

